S/N,Title,Author,Images,Shelflist,Position,Category,SubCategory,Publisher,Description,Tags
1466,Canyon hunters,Anita Ganeri,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Canyon-hunters.jpg,27-2,034,Sách tham khảo,Nghề nghiệp,Raintree,"Canyon Hunters teaches readers all about canyons, and the scientists who go to extremes to study them!",10-12 tuổi
1519,Cave crawlers,Pam Rosenberg,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Cave-crawlers.jpg,27-2,033,Sách tham khảo,Nghề nghiệp,Raintree,"Cave Crawlers teaches readers all about caves, and the scientists who go to extremes to study them!",10-12 tuổi
1520,Cave crawlers,Pam Rosenberg,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Cave-crawlers.jpg,27-2,032,Sách tham khảo,Nghề nghiệp,Raintree,"Cave Crawlers teaches readers all about caves, and the scientists who go to extremes to study them!",10-12 tuổi
1521,Cave crawlers,Pam Rosenberg,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Cave-crawlers.jpg,27-2,030,Sách tham khảo,Nghề nghiệp,Raintree,"Cave Crawlers teaches readers all about caves, and the scientists who go to extremes to study them!",10-12 tuổi
1775,Commercial fishermen,Sarah Tieck,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Commercial-fishermen.jpg,27-2,057,Sách tham khảo,Nghề nghiệp,Big Buddy Books,"Learn what it's like to work as a commercial fisherman, including daily tasks, unique challenges, and the special gear and tools used. Readers will also learn about the history of commercial fishermen, safety methods, and required education and experience.",10-12 tuổi
2184,Disease detectives,Brylee Gibson,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/disease-detectives.jpg,27-2,049,Sách tham khảo,Nghề nghiệp,Scholastic Academic,"Disease investigators are the focus of this title in the exciting Connectors series, based on Reciprocal Reading. In small groups, students take turns to lead a group discussion: - They explicitly use comprehension strategies used in Reciprocal reading: predict, clarify, ask questions and summarise. - In addition they use other comprehension strategies: make connections, visualise and form opinions.",10-12 tuổi
2507,Emergency 999: ambulance,Kathryn Walker,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Emergency-999-ambulance.jpg,27-2,013,Sách tham khảo,Nghề nghiệp,Hachette Children's Group,"Emergency 999! Ambulance explores all aspects of the ambulance service from the types of emergencies paramedics attend, what uniform they wear and the equipment they use to save lives.",10-12 tuổi
2648,Exploring the secrets of a hospital,Tammy Enz,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Exploring-the-secrets-of-a-hospital.jpg,27-2,047,Sách tham khảo,Nghề nghiệp,Capstone Press,Where do the doctor's tools get cleaned? And where do they put patients who are dangerous? Behind the scenes of the hospital there's a whole world of activity that keeps people healthy. Let's go behind the double doors to examine the secrets of a hospital.,10-12 tuổi
2961,Forensic scientist,Tim Clifford,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Forensic-scientist.jpg,27-2,014,Sách tham khảo,Nghề nghiệp,Rourke Publishing,Learn about the job of forensic scientist.,10-12 tuổi
2962,Forensic scientist,Tim Clifford,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Forensic-scientist.jpg,27-2,011,Sách tham khảo,Nghề nghiệp,Rourke Publishing,Learn about the job of forensic scientist.,10-12 tuổi
3696,Heroic jobs: mountain rescue,Chris Oxlade,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Heroic-jobs-mountain-rescue.jpg,27-2,045,Sách tham khảo,Nghề nghiệp,Raintree,"Mountain Rescue reveals the stories, people, and equipment behind the world's most dramatic rescues. Stunning photographs capture the drama and excitement of the missions, while concluding chapters look at the essential skills required by mountain rescuers, how readers can pursue a career as a mountain rescuer, and what they should do in the event of a real-life emergency.",10-12 tuổi
4101,I am an optician,Deborah Chancellor,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/I-am-an-optician.jpg,27-2,046,Sách tham khảo,Nghề nghiệp,Franklin Watts,"A bright, engaging series taking young readers through a day in the life of a dentist. ""I am a Dentist"" explains to young readers what happens during the course of a normal optician's day, and describes what they can expect on a trip to the optician.",10-12 tuổi
4268,If I were a movie star,Shelly Lyons,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/if-i-were-a-movie-star.jpg,8-4,009,Sách truyện thiếu nhi,7-9 tuổi,"Describes the work of a veterinarian, including how to care for different animals, where they work, and how a veterinarian is similar to a doctor for people.","If I were a movie star, I would jet to places around the world. I would wear fancy costumes and get my hair and make-up done. I would make audiences laugh and cry. Dream big, and see what fun it is to be a movie star.",7-9 tuổi
4269,If I were a veterinarian,Shelly Lyons,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/If-I-were-a-veterinarian.jpg,17-1,004,Sách truyện thiếu nhi,7-9 tuổi,"Describes the work of a veterinarian, including how to care for different animals, where they work, and how a veterinarian is similar to a doctor for people.","Describes the work of a veterinarian, including how to care for different animals, where they work, and how a veterinarian is similar to a doctor for people.",7-9 tuổi
4400,Interview with an astronomer,Judy Ling,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Interview-with-an-astronomer.jpg,27-2,067,Sách tham khảo,Nghề nghiệp,MacMillan Education,We interview astronomer Jennie McCormick who has great stories to tell about outer space.,10-12 tuổi
4972,Librarians at work,Karen Latchana Kenney,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Librarians-at-work.jpg,27-2,054,Sách tham khảo,Nghề nghiệp,Magic Wagon,"The Meet Your Community Workers illustrated nonfiction book Librarians at Work teaches young readers about the education, tasks, tools, and role in society of librarians. Easy-to-read text combines with colorful illustrations to provide entertainment and facts for even the youngest audience.",10-12 tuổi
5206,Look and play: puppies,Jim Pipe,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Look-and-play-puppies.jpg,2-2,028,Sách truyện thiếu nhi,0-2 tuổi,Franklin Watts Ltd,Young children will love reading these colourful books either on their own or with a parent or teacher. Pages of easy-to-read phrases are followed by fun quizzes and activities.,0-2 tuổi
5216,Look look,Peter Linenthal,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/look-look.jpg,2-4,057,Sách truyện thiếu nhi,0-2 tuổi,Dial Books,"Look, look! Children run, fish swim, stars shine...all for baby's eyes to see. This sturdy board book, full of high-contrast black-and-white cut-paper art perfect for staring at, is just the thing for the eyes of the youngest babies. A few words in curving red type on each spread describe the scenes — ""a car races, a cat stretches, flowers bloom"" — and extend the book's age appeal so that it will be fascinating to older babies, too.",0-2 tuổi
5219,Look look outside,Peter Linenthal,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/look-look-outside.jpg,2-1,050,Sách truyện thiếu nhi,0-2 tuổi,Dial Books,"There's a world of wonder outside baby's window in this fourth board book in the popular Look, Look! series. In striking black-and-white images perfect for infant eyes, ladybugs fly, cars zoom, and clouds float. With bold, simple text and art, this board book makes an ideal learning experience for very young babies and a perfect shower gift.",0-2 tuổi
5222,Look what I can do,Sam McBratney,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/look-what-i-can-do.jpg,2-2,010,Sách truyện thiếu nhi,0-2 tuổi,Walker Books Ltd,"Guess How Much I Love You has sold over 50 million copies worldwide!

A beautiful introduction to early concepts by the author and illustrator of Guess How Much I Love You.

Explore noises, count from one to ten, learn all about colours, the weather, shapes, actions, and nature with Big Nutbrown Hare and Little Nutbrown Hare. Gloriously adorned with Anita Jeram's classic illustrations, this is the ideal book for curious babies and toddlers.",0-2 tuổi
5265,Lots of dots,Craig Frazier,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/lots-of-dots.jpg,1-4,003,Sách truyện thiếu nhi,0-2 tuổi,Chronicle Books,"In this exuberant book, acclaimed graphic designer Craig Frazier does more than simply showcase a vast variety of dots, he encourages young readers to look closely at the world around them. Through his energetic images, the ordinary becomes extraordinary. Buttons are dots. Wheels are dots. Ladybugs have dots. And so do the fried eggs on your plate. Lots of Dots is lots of fun!",0-2 tuổi
5266,Lots of dots,Craig Frazier,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/lots-of-dots.jpg,2-3,003,Sách truyện thiếu nhi,0-2 tuổi,Chronicle Books,"In this exuberant book, acclaimed graphic designer Craig Frazier does more than simply showcase a vast variety of dots, he encourages young readers to look closely at the world around them. Through his energetic images, the ordinary becomes extraordinary. Buttons are dots. Wheels are dots. Ladybugs have dots. And so do the fried eggs on your plate. Lots of Dots is lots of fun!",0-2 tuổi
5267,Lots of lambs,Laura Numeroff,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Lots-of-lambs.jpg,1-1,038,Sách truyện thiếu nhi,0-2 tuổi,HMH Books for Young Readers,"“Happy lambs, / grumpy lambs, / Lambs in a coat. / Grandpa lambs, / Baby lambs, / Lambs on a boat.” 
 
Jaunty rhymes make for excellent read-alouds on their own, but add flaps to flip and textures to touch and storytime success is inevitable. Lynn Munsinger’s colorful lambs in contrasting situations (indoors/outdoors, for instance) help reinforce the concept of opposites. A great choice for fans of Matthew Van Fleet’s Tails!",0-2 tuổi
5323,Luke's mule,Judy Kentor Schmauss,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Luke_s-mule.jpg,3-3,016,Sách truyện thiếu nhi,0-2 tuổi,B.E.S. Publishing,"This is volume five, Reading Level 2, in a comprehensive program (Reading Levels 1 and 2)for beginning readers. ""Luke's Mule"" is a story that covers the ""long u"" sound. ",0-2 tuổi
5511,Mary had a little lamb,Kate Willis-Crowley,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/mary-had-a-little-lamb.jpg,4-1,012,Sách truyện thiếu nhi,0-2 tuổi,Hachette Children's Group,"A book to share and treasure, this favourite nursery rhyme is illustrated with warmth and inventiveness by Kate Willis-Crowley.",0-2 tuổi
5558,Max goes to school,Adria Klein,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/max-goes-to-school.jpg,2-4,034,Sách truyện thiếu nhi,0-2 tuổi,Picture Window Books,"Describes Max's day at school, as he listens to a story, draws a picture, plays on the playground, and eats lunch.",0-2 tuổi
5559,Max goes to the barber,Adria Klein,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Max-goes-to-the-barber.jpg,2-1,031,Sách truyện thiếu nhi,0-2 tuổi,Picture Window Books,"Describes Max's visit to the barber, as he gets his hair cut and combed.",0-2 tuổi
5561,Max goes to the zoo,Adria Klein,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Max-goes-to-the-zoo.jpg,2-4,035,Sách truyện thiếu nhi,0-2 tuổi,Picture Window Books,Max and his friend Lily spend a day exploring the zoo. What animals will they see?,0-2 tuổi
5568,May I please have a cookie?,Jennifer Morris,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/May-I-please-have-a-cookie.jpg,1-2,028,Sách truyện thiếu nhi,0-2 tuổi,Scholastic US,"A pleasing board book version of the bestselling story that's all about how to say please!

Alfie loves his mommy's cookies, and he wants one more than anything! But grabbing for one, fishing for one, and dressing up as a cookie inspector don't seem to work. His mommy says there is a better way. What is it?The littlest of readers will learn proper manners with Alfie as his mommy teaches him to say the magic words.Safe for all ages.",0-2 tuổi
5575,Me,Emma Dodd,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Me.jpg,3-3,036,Sách truyện thiếu nhi,0-2 tuổi,Templar ,"Emma Dodd's four popular picture books are now available in a chunky boardbook format. Illustrated in her appealing iconic style, with foil embellishment throughout. In Me - , we meet a tiny baby penguin who discovers that, to her mother, she is a very big penguin indeed. Me...was chosen to go into Bookstart's Baby Packs in 2010.",0-2 tuổi
5576,Me and Meow,Adam Gudeon,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Me-and-Meow.jpg,4-1,020,Sách truyện thiếu nhi,0-2 tuổi,HarperCollins,This is a sweet story about a little girl and her cat.,0-2 tuổi
5599,Meeow and the big box,Sebastien Braun,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Meeow-and-the-big-box.jpg,2-3,057,Sách truyện thiếu nhi,0-2 tuổi,Boxer Books,"Start with an ordinary brown box. Get out the red paint. Add a chair and a mug. Then, watch as Meeow works his magic, transforming everyday objects into an amazing fire truck. What a clever kitty!",0-2 tuổi
5620,Meg takes a walk,Susan Blackaby,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Meg-takes-a-walk.jpg,3-1,028,Sách truyện thiếu nhi,0-2 tuổi,Picture Window Books,All about the adventures that occur when Meg takes her dog Peg for a walk.,0-2 tuổi
5637,Melvin's valentine,Jon Scieszka,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Melvin_s-valentine.jpg,1-2,026,Sách truyện thiếu nhi,0-2 tuổi,Simon Spotlight,"Melvin worries his way around Trucktown trying to find out who gave him a valentine. After everyone he asks says no, little Rita beeps her way to Melvin's attention. Did she give Melvin the valentine?",0-2 tuổi
5663,Meteorologist,Geoffrey Horn,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Meteorologist.jpg,27-2,041,Sách tham khảo,Nghề nghiệp,Gareth Stevens,"Describes the tasks and responsibilities of meteorologists, and the training and equipment needed for the job.",10-12 tuổi
5664,Meteorologist's tools,Anders Hanson,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Meteorologist_s-tools.jpg,27-2,068,Sách tham khảo,Nghề nghiệp,Super Sandcastle,Learn about some of the tools that meteorologists use to predict the weather.,10-12 tuổi
5679,Mighty Mike builds a library,Kelly Lynch,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Mighty-Mike-builds-a-library.jpg,17-3,074,Sách truyện thiếu nhi,7-9 tuổi,Magic Wagon,"When the town has to stop plans to build a library, he knows he has to help get it built. Will a few calls to his construction friends get Mighty Mike the help he needs to bring a library to the town?",7-9 tuổi
5796,Mommies say shhh,Patricia Polacco,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/mommies-say-shhh.jpg,1-1,055,Sách truyện thiếu nhi,0-2 tuổi,Philomel Books,"Goats say “maa-maa-maa.” Birds say “cheep-cheep-cheep.” Horses say “neigh-neigh-neigh.” Rabbits say nothing at all! But when all of these animals get together and raise a honking, braying, neighing ruckus, what does Mama say? “Shhhhhh!” Now available in this adorable board book, Patricia Polacco’s fun-filled collection of animal sounds and beautiful rural landscapes is a perfect readaloud for beginning readers. They’ll want more-more-more.",0-2 tuổi
5860,More,I. C. Springman,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/More.jpg,1-4,017,Sách truyện thiếu nhi,0-2 tuổi,HMH Books for Young Readers,"One magpie, lots of stuff, and a few friendly mice show us that less is more.
This innovative and spare picture book asks the question: When is MORE more than
enough? Can a team of well-intentioned mice save their friend from hoarding too
much stuff? With breathtaking illustrations from the award-winning Brian Lies, this
book about conservation wraps an important message in a beautiful package.",0-2 tuổi
5861,More,I. C. Springman,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/More.jpg,2-3,030,Sách truyện thiếu nhi,0-2 tuổi,HMH Books for Young Readers,"One magpie, lots of stuff, and a few friendly mice show us that less is more.
This innovative and spare picture book asks the question: When is MORE more than
enough? Can a team of well-intentioned mice save their friend from hoarding too
much stuff? With breathtaking illustrations from the award-winning Brian Lies, this
book about conservation wraps an important message in a beautiful package.",0-2 tuổi
5927,Mr Bump's shopping trip,Roger Hargreaves,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Mr-Bump_s-shopping-trip.jpg,3-3,054,Sách truyện thiếu nhi,0-2 tuổi,Egmont Books Ltd,"Mini Size Board Book, First Mr Men stories written in rhyme for babies and young children.",0-2 tuổi
5941,Mr Noisy's big surprise,Roger Hargreaves,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Mr-Noisy_s-big-surprise.jpg,3-3,053,Sách truyện thiếu nhi,0-2 tuổi,Egmont UK Ltd,Mr. Noisy makes an awful lot of noise! Is anyone louder than Mr. Noisy?,0-2 tuổi
6155,My grandmother works in a dress shop,Sarah Hughes,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/My-grandmother-works-in-a-dress-shop.jpg,27-2,082,Sách tham khảo,Nghề nghiệp,San Val,"Keisha's grandmother, who works in a dress shop, agrees to make a pretty new dress for Keisha to wear. There are many things to do, including measuring Keisha, choosing fabric, and pinning the fabric.",10-12 tuổi
6186,My mum is beautiful,Jessica Spanyol,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/My-mum-is-beautiful.jpg,1-2,005,Sách truyện thiếu nhi,0-2 tuổi,Walker Books Ltd ,"Let me tell you all the ways I love my mum...My mum is beautiful because she points out tiny things in books to me. In her newest picture book, Jessica Spanyol succeeds in capturing, with great warmth and humour, the wonderful bond between a mother and a child. Told from the perspective of a small bear, this book encapsulates how love is measured in a child's mind: a gesture so simple can mean so very much.",0-2 tuổi
6187,My mum is beautiful,Jessica Spanyol,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/My-mum-is-beautiful.jpg,1-2,006,Sách truyện thiếu nhi,0-2 tuổi,Walker Books Ltd ,"Let me tell you all the ways I love my mum...My mum is beautiful because she points out tiny things in books to me. In her newest picture book, Jessica Spanyol succeeds in capturing, with great warmth and humour, the wonderful bond between a mother and a child. Told from the perspective of a small bear, this book encapsulates how love is measured in a child's mind: a gesture so simple can mean so very much.",0-2 tuổi
6199,My new childminder,Jillian Powell,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/My-new-childminder.jpg,27-2,043,Sách tham khảo,Nghề nghiệp,Wayland,"Using specially commissioned photography, this series introduces the reader to common new and first experiences. The choice of titles reflect the most common types of experiences. The series uses the perspective of another child to tell the 'story' of a particular experience and explores how they feel by the event. At the end, advice will be given to help deal with difficult situations such as feeling jealous because a new baby in the family is getting everyone's attention.",10-12 tuổi
6342,New red bike,James Ransome,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/new-red-bike.jpg,2-3,026,Sách truyện thiếu nhi,0-2 tuổi,Holiday House,What to do when you get a shiny new red bike? Go for a ride!,0-2 tuổi
6372,No,Claudia Rueda,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/No.jpg,1-4,021,Sách truyện thiếu nhi,0-2 tuổi,Groundwood Books,"It's winter and little bear doesn't want to go to sleep. He's sure he won't get cold outside. He doesn't mind how long the winter is, how deep the snow might get or how hard the wind might blow. Until, that is, he finds himself all alone in a snowstorm. After a few panicky moments, he finds his mother again. ""Mamma, I'm back,"" he says. ""Winter is very long and you might get lonely.""",0-2 tuổi
6377,No dogs allowed,Linda Ashman,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/No-dogs-allowed.jpg,1-4,006,Sách truyện thiếu nhi,0-2 tuổi,Sterling Children's Books,"Welcome to Alberto's restaurant…unless you're a dog, a cat, a bunny, or ANYTHING with fur, feathers, or scales! The entertainment escalates in this nearly wordless picture book as more and more people arrive with a surprising selection of pets.  Alberto turns them all away--only to see the crowd discover a friendlier alternative in the festive street. Will Alberto find a way to win them back?Charming, classic art, with graphic novel-like panels, make this a fresh and funny story that will amuse even the youngest readers.",0-2 tuổi
6460,Ocean divers,Anita Ganeri,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Ocean-divers.jpg,27-2,031,Sách tham khảo,Nghề nghiệp,Raintree,"Ocean Divers teaches readers all about oceans, and the scientists who go to extremes to study them!",10-12 tuổi
